CountryName,"CountryCode","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
Antigua and Barbuda,"ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","323050296.77667","337211619.784609","364457459.908829","394202403.283718","409240894.491539","408897081.95147","430830387.966","474624277.923985","510903578.091765","569625959.491973","607371476.614152","639035409.206963","672599304.048187","692855618.538791","707938207.939795","716138442.168796","753951063.866862","804286308.323653","769223495.050255","820029307.591293","864894192.88853","905815050.43184","939401717.9403","1002264060.83641","952611150.462145","962366849.462094","1020666153.11379","1079216260.64448","1148419979.87272","1294596702.53548","1414468855.77554","1414042630.08233","1242836906.965","1148700000","1126201416.73822","1164186683.67089","1157191360.67478","1201115192.6865","1247061369.26107","1315622165.26087","1357005634.12294","1457277455.93212","",
Australia,"AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199141381769.101","204091617185.945","206736452863.205","219584333490.541","234908099780.909","248963973009.967","254895654418.547","270960496907.683","284768320797.671","304828063168.661","326690962964.216","339770765883.808","353064828139.625","362291802780.238","377158636077.584","382250175142.691","392141430521.058","406248756708.994","409891933379.412","426465929775.058","439405197000.999","454072362099.714","469185708826.909","458767636585.998","479785018355.809","504970089794.75","525356980829.651","538770844004.647","569700215927.299","591717474599.488","612845441833.156","610411025719.071","612929148885.66","637626569147.174","663021292194.679","688455180927.3","715157730675.842","743524438064.517","777553274793.62","817003103115.573","849136627866.895","865532458792.994","900165675800.263","927044087154.522","964640841002.251","995549478150.429","1023370937765.92","1062712484487.84","1101585578897.59","1122922429785.22","1146138465603.81","1174365405253.44","1220378941628.1","1251924213148.07","1283636898773.05","1311782435234.01","1348127423067.24","1380045920527.73","1420623874171.95","",
Austria,"AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836704603.8272","96922602310.0595","99489767156.2721","103606919937.48","109952174211.113","113778702199.799","120199076680.091","123814722359.088","129352104013.722","137470070238.14","146159749334.712","153635774723.2","163173269957.102","171153153430.917","177900247172.082","177253160456.394","185368599583.233","194785288854.208","194374966805.269","204787050325.414","208332908241.25","208032295395.5","212216354005.19","218525732918.778","218637782550.416","224100837798.389","229258278296.628","232369698320.641","240028325237.241","249358405698.537","260194628169.57","269149557913.925","274784270415.639","276231859963.627","282867277308.386","290414130050.787","297237508346.442","303460471006.619","314328682652.371","325507251810.694","336495472200.435","340759435782.358","346387261608.152","349648396949.29","359211700961.583","367272646184.907","379958397036.836","394121024465.176","399876861217.528","384823184161.595","391892746544.69","403346977095.66","406091533760.531","406195106237.474","408881164188.391","413029270083.549","421631052473.627","432072509042.657","442527642505.434","",
Azerbaijan,"AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22672997489.2598","22514286465.4054","17426057713.9502","13400638502.3469","10760712620.576","9490948560.19303","9614330840.70045","10171962030.6465","11189158352.2522","12017156024.0878","13351060283.0959","14672815268.5084","16057770026.7758","17696995366.1973","19334640158.1058","24740902926.3267","33268154327.4079","41739296291.7775","46160087685.6421","50485058386.531","52902703376.1056","52070545110.5105","53217627468.0711","56326959563.0229","57902587621.89","58510999630.176","56718105558.8029","56558154150.4872","57357249337.7948","",
Burundi,"BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","597069961.546072","514995918.26075","561670811.689447","584898188.110763","621589073.145239","646248914.035703","676060330.530198","769502134.875392","767209913.650335","756012169.305851","917236835.232064","942431759.973465","882078760.642376","942845613.83468","935992638.90365","942525120.939625","1017386695.90918","1134075385.27516","1123408544.50219","1142112790.67558","1153431764.87503","1293726848.95154","1280096145.19707","1327655902.79585","1329720991.95726","1486404412.37271","1534715238.11495","1619172092.81896","1700633035.37323","1723583116.10835","1783905459.60785","1873044297.81182","1891962014.70775","1773903584.96368","1705963077.72701","1570850801.9071","1445182737.78688","1422204332.30147","1489759038.01604","1474712471.78425","1462076190.64843","1492133656.90531","1558481669.61629","1539410093.67007","1613819909.24558","1628344288.44335","1716499707.8749","1775752462.2736","1862084450.49236","1933081018.33396","2032135246.50004","2114083183.17763","2208090293.90699","2316820971.52452","2415069278.13462","2320881501.75984","2306955748.5603","2318490757.97052","2355816907.6942","",
Belgium,"BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","119183391159.061","125116844592.018","131637938922.824","137366274781.704","146922413448.34","152153820819.748","156955635615.515","163026910242.566","169864470181.686","181126144478.07","191254395231.942","198877465127.775","209409229017.889","222773102104.405","232943269121.097","228363740642.103","241272562494.73","242783302275.89","249682952635.586","255528212921.113","266884024750.166","266138661424.902","267722151648.701","268557023808.128","275180667564.013","279726082161.776","284824823336.936","291394761866.192","305157945286.058","315744383425.441","325650555483.959","331619972056.74","336695929196.36","333457341656.811","344217914924.963","352426676458.87","357083919174.657","370630414925.168","377901593439.986","391289642724.156","405832615318.929","410295216338.301","417298500905.365","421629863437.465","436687079147.938","446825806298.355","458230381597.117","475079138083.189","477202345354.765","467559394365.929","480951629493.033","489101342571.806","492716925962.252","494979620293.941","502792988581.692","513013709008.398","520765890121.502","530994736008.02","538738791661.312","",
Benin,"BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1731160070.26564","1785540663.26202","1724360722.58457","1805923467.1607","1926031086.82843","2027992530.71234","2100510759.84221","2123162639.85085","2204741674.56796","2268183071.63105","2315764053.89314","2281100728.89167","2427692645.79023","2517666948.67027","2601739707.25308","2474375561.00706","2496257857.98321","2620662955.33145","2653554320.37734","2826983928.11201","3018703302.80502","3319192007.80099","3393378151.27826","3245840084.55065","3503229995.76774","3767034594.22012","3848822249.30111","3791089802.04272","3920185709.15037","3808297317.25955","4150135201.30967","4325511590.52198","4453447715.1324","4713358587.62772","4808587305.63231","5099275960.40803","5319783136.48257","5624856121.67752","5847657355.40308","6160007012.49151","6520842618.31787","6868608004.33002","7187519594.36151","7435027349.87739","7764375607.9695","7897392139.47095","8208844659.68716","8700254776.298","9126269457.94962","9337934308.08352","9535344283.47295","9817948328.01509","10290311747.0947","11030332696.1176","11731605852.3696","11940211526.2241","12338975597.609","13038787442.989","13912028868.5986","",
Burkina Faso,"BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1153497471.75521","1200144078.72412","1273698494.39634","1257547788.94945","1286255331.61624","1334676997.28504","1341852395.43964","1460248258.7904","1505089181.74741","1535583508.30374","1537380442.1502","1559108853.07615","1595147634.58968","1602315070.06168","1735089730.35784","1787114363.9664","1939642697.91623","1946826233.6606","2036532579.66401","2111163790.67383","2127987208.88243","2218539520.81643","2430680631.95068","2439090416.0079","2395706395.59655","2599757453.52648","2806577589.00363","2799944613.51917","2962218006.55865","3025913610.99051","3007669516.04935","3280464673.78828","3288098668.1456","3401912420.09734","3446647815.81348","3643671090.83705","4045012128.92928","4300528860.1238","4614799451.96413","4956487462.32454","5046707523.52324","5380466456.43255","5614678393.87183","6052760301.03174","6323831618.4998","6871593161.43807","7301284780.41566","7714172808.44856","8276883001.25427","8522045465.25424","8979966766.07232","9575057057.97374","10192906645.5417","10783339866.97","11249917444.6573","11688050885.8802","12378350092.3455","13164365187.8341","14063805708.7644","",
Bangladesh,"BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588877878.6561","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596885516.148","146997325017.061","156629549345.307","167771375851.352","179992151721.964","194146210562.862","",
Bulgaria,"BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","28567896236.6319","29967769392.1754","30667386625.1523","31719371801.814","32796702382.564","33676782455.6654","35093767429.2676","37218524434.8179","41291977325.0305","39933519967.5105","36292630364.1532","33227588804.6568","30811149654.799","30355078448.626","30906937186.95","31790934141.0586","32014958711.2495","31666373358.603","33676864762.4205","30845268715.3107","32315283606.3355","33533640178.6923","35524705563.8283","37356436983.8906","39760457560.5794","42592798158.9278","45520779748.2063","48864017869.2297","51806552050.9002","49948693651.0085","50610058210.3696","51579193177.2032","51595167185.5963","51850006768.6476","52802761608.2307","54635643698.3891","56786516853.9326","58950791931.772","60767158521.7273","",
